Edit date,Editing user,Minor edit or not,Resulting page size in bytes,Edit comment
"13:23, 17 December 2006","Metsoma","minor","102,539","?Origin and Definition - changed passive vocie to active and eliminated double \"the\""
"13:18, 17 December 2006","Metsoma","","102,549","General tightening of article; removed a few duplicate or near-duplicate sentences"
"05:16, 17 December 2006","Juanmibecerra","","115,741","Minor revision dealing with double negatives) on Paraiso as a State-recognized religion section."
"20:29, 16 December 2006","Amado","","115,733","?Influences"
"11:12, 16 December 2006","Serena","","115,732","?Paraiso and celebrities"
"22:23, 14 December 2006","Andres.valencia","minor","115,779","?Other Paraiso Related Organizations -lc in headings"
"20:55, 14 December 2006","Andres.valencia","minor","115,779","tidied refs; standardized p. for pg, quote marks; lc Alma except in wikis Operating Alma Body Alma"
"15:43, 14 December 2006","Salvatora","minor","115,864","++ pp-semi-vandalism"
"15:42, 14 December 2006","Salvatora","minor","115,832","Reverted to revision xxxxxxxxx by Honoria; vandalism."
"15:40, 14 December 2006","Salvatora","minor","","Changed protection level for \"Paraiso\": Semi-protection: Vandalism, Vandal magnet directly after expiration of last semi; extensive semi-protection history. adding move as well) [edit=autoconfirmed:move=sysop]"
"15:38, 14 December 2006","Salvatora","minor","","Protected Paraiso: Semi-protection: Vandalism, Vandal magnet directly after expiration of last semi; extensive semi-protection history.. [edit=autoconfirmed:move=autoconfirmed]"
"15:32, 14 December 2006","Sorruno","","115,784","Undid revision xxxxxxxxx by 98.203.74.x talk)"
"15:31, 14 December 2006","75.80.128.x","","115,717","?Morals"
"15:27, 14 December 2006","98.203.74.x","","115,633",""
"14:37, 14 December 2006","87.68.234.x","","115,700","?Definition"
"14:08, 14 December 2006","SilviaBot","minor","115,698","BOT - Reverted edits by McGonagal {possible vandalism} to revision #xxxxxxxxx by \"Ismaelsmr\"."
"14:07, 14 December 2006","McGonagal","","114,418",""
"13:00, 14 December 2006","Ismaelsmr","minor","115,698","Reverted edits by 87.68.156.x talk) to last version by Hamsterlopithecus"
"11:30, 14 December 2006","87.68.156.x","","115,692",""
"10:27, 14 December 2006","Hamsterlopithecus","","115,698","?Auditing Confidentiality - Excessive qualification indicates a stretch."
"09:03, 14 December 2006","Honoria","minor","115,832","Reverted edits by 150.204.165.x talk) to last version by Salvatora"
"09:02, 14 December 2006","150.204.165.x","","115,855","?Influences"
"09:01, 14 December 2006","Salvatora","minor","115,832","Reverted edits by 150.204.165.x talk) to last version by Honoria"
"09:01, 14 December 2006","150.204.165.x","","115,830","?Origin"
"09:00, 14 December 2006","Honoria","minor","115,832","Reverted edits by 150.204.165.x talk) to last version by Cansado"
"09:00, 14 December 2006","150.204.165.x","","115,830","?Origin"
"07:32, 14 December 2006","Cansado","","115,832","Undid revision xxxxxxxxx by 80.2.12.x talk)"
"07:31, 14 December 2006","Cansado","","115,895","Undid revision xxxxxxxxx by 80.2.12.x talk) \"calling\" has connotations not in line with quote"
"07:08, 14 December 2006","80.2.12.x","","115,891","?Influences"
"07:07, 14 December 2006","80.2.12.x","","115,895",""
"05:01, 14 December 2006","BakBOT","","115,832","Reverting possible vandalism by Special:Contributions/67.55.3.x to version by Cancerbero8. False positive? report it. Thanks, User:BakBOT. 120601) Bot)"
"05:01, 14 December 2006","67.55.3.x","","116","?Replaced page with ''''Paraiso''' is a crazy anti god religion and the practitioners of such should be executed on charges of heresy'"
"04:04, 14 December 2006","Cancerbero8","","115,832","Reverted 1 edit by 69.152.204.x talk) to last revision by 207.144.91.x"
"04:03, 14 December 2006","69.152.204.x","","115,799",""
"03:33, 14 December 2006","207.144.91.x","","115,832","?The Cielo"
"02:23, 14 December 2006","Idolina","minor","115,831","rv \"sole\". Probably intended to say \"are solely the\" instead of \"are the sole\" but I'm not sure."
"02:03, 14 December 2006","BakBOT","","115,836","Reverting possible vandalism by Special:Contributions/66.175.135.x to version by Cansado. False positive? report it. Thanks, User:BakBOT. 120310) Bot)"
"02:03, 14 December 2006","66.175.135.x","","61","?Replaced page with ''''Paraiso''' is a totally, totally ridiculous \"Religion\"'"
"00:47, 14 December 2006","Cansado","","115,836","Undid revision xxxxxxxxx by Segundocentro talk) Removed \"crazy\" as adjective for Paraiso"
"00:10, 14 December 2006","Segundocentro","","115,844","?Controversy and criticism"
"15:35, 13 December 2006","76.180.190.x","","115,836",""
"15:34, 13 December 2006","76.180.190.x","","115,836",""
"15:33, 13 December 2006","76.180.190.x","","115,835",""
"15:03, 13 December 2006","76.180.190.x","","115,888",""
"11:50, 13 December 2006","Alejandro","","115,836","rv unsourced opinion"
"11:24, 13 December 2006","69.37.222.x","","116,159","?Scientific criticism of Paraiso's beliefs"
"10:13, 13 December 2006","69.61.213.x","","115,847","?The upper secret levels of Paraiso"
"04:48, 13 December 2006","Honoria","minor","115,836","Reverted edits by 71.108.10.x talk) to last version by Pablo6213"
"04:48, 13 December 2006","71.108.10.x","","115,854",""
"00:49, 13 December 2006","Pablo6213","","115,836","map link to coordinates"
"00:19, 13 December 2006","RASECZENITRAM","minor","115,897","Reverted 1 edit by Mauron. using TW"
"00:12, 13 December 2006","Mauron","","115,872",""
"20:23, 12 December 2006","BakBOT","","115,897","Reverting possible vandalism by Special:Contributions/86.151.194.x to version by Adan. False positive? report it. Thanks, User:BakBOT. 117506) Bot)"
"20:23, 12 December 2006","86.151.194.x","","","empty) ?Blanked the page"
"20:22, 12 December 2006","Adan","","115,897","Reverted 1 edit by 172.203.243.x identified as vandalism to last revision by 205.227.165.x. mistakenly reverted/problems? ? FAQ)"
"20:22, 12 December 2006","172.203.243.x","","11","made the page more factually accurate."
"20:10, 12 December 2006","205.227.165.x","","115,897","?Auditing"
"19:52, 12 December 2006","Agustin","minor","115,930","Undid revision xxxxxxxxx by 81.96.243.x talk)"
"19:44, 12 December 2006","81.96.243.x","","115,937","?Paraiso as a state-recognized religion"
"17:47, 12 December 2006","82.33.202.x","","115,930","?Paraiso as a cult - add date"
"15:05, 12 December 2006","Angus","minor","115,922","Reverted edits by 84.9.145.x talk) to last version by Snakeyes"
"10:42, 12 December 2006","84.9.145.x","","115,932","?Controversy and criticism"
"02:14, 12 December 2006","Snakeyes","minor","115,922","Undid revision xxxxxxxxx by 84.158.202.x talk)"
"01:53, 12 December 2006","71.146.146.x","","115,955","?Other links"
"01:47, 12 December 2006","84.158.202.x","","115,880",""
"01:38, 12 December 2006","BakBOT","","115,847","Reverting possible vandalism by Special:Contributions/84.158.202.x to version by Remedios. False positive? report it. Thanks, User:BakBOT. 116023) Bot)"
"01:37, 12 December 2006","84.158.202.x","","41","?Replaced page with ''''Paraiso''' is complete bull shit.'"
"19:55, 11 December 2006","Remedios","","115,847","Reverted 1 edit by 203.59.152.x identified as vandalism to last revision by Cansado. using TW"
"19:53, 11 December 2006","203.59.152.x","","115,880",""
"19:23, 11 December 2006","Cansado","","115,847","Undid revision xxxxxxxxx by 66.215.77.x talk)"
"18:27, 11 December 2006","58.172.168.x","","115,850","?Origin"
"18:26, 11 December 2006","58.172.168.x","","115,856","?Origin"
"18:22, 11 December 2006","66.215.77.x","","115,850","?Influences"
"14:55, 11 December 2006","Edemir","minor","115,847","Reverted 1 edit by 24.195.147.x identified as vandalism to last revision by Diegoob. using TW"
"14:36, 11 December 2006","24.195.147.x","","115,601","?Beliefs"
"09:25, 11 December 2006","Diegoob","","115,847","Undid revision xxxxxxxxx by Gafotas talk)"
"08:59, 11 December 2006","Gafotas","","115,824",""
"06:32, 11 December 2006","Honoria","minor","115,847","Reverted edits by 12.196.12.x talk) to last version by Salvatora"
"06:31, 11 December 2006","12.196.12.x","","115,881","?Beliefs"
"02:35, 11 December 2006","Salvatora","minor","115,847","Reverted 1 edit by 209.7.3.x to last revision by 78.19.244.x."
"02:34, 11 December 2006","209.7.3.x","","115,875","?Influences"
"02:34, 11 December 2006","78.19.244.x","","115,847","?Scientific criticism of Paraiso's beliefs"
"02:15, 11 December 2006","Josecastro79","minor","115,823","Reverted edits by 219.78.46.x talk) to last version by Josecastro79"
"02:15, 11 December 2006","219.78.46.x","","112,465","?Definition"
"02:13, 11 December 2006","Josecastro79","minor","115,823","Reverted edits by 219.78.46.x talk) to last version by Agustin"
"02:13, 11 December 2006","219.78.46.x","","107,728","?Texts and Lectures"
"02:12, 11 December 2006","219.78.46.x","","108,427","?Origin"
"16:05, 10 December 2006","Agustin","minor","115,823","Undid revision xxxxxxxxx by 75.3.95.x talk) vandalism"
"15:43, 10 December 2006","75.3.95.x","","115,842",""
"15:40, 10 December 2006","Sisyfus","","115,823","Undid revision xxxxxxxxx by 75.3.117.x talk)"
"15:39, 10 December 2006","75.3.117.x","","115,924","?Origin"
"09:24, 10 December 2006","82.44.175.x","","115,823","fx ref"
"04:21, 10 December 2006","Edemir","","115,821","?Other links - Removed link to blog. Why not link the BBC directly, instead of a blog?"
"01:58, 10 December 2006","Gertrudes","minor","115,975","Reverted 1 edit by 69.116.73.x identified as vandalism to last revision by 125.238.243.x. using TW"
"01:57, 10 December 2006","69.116.73.x","","115,992","?Texts and Lectures"
"00:43, 10 December 2006","125.238.243.x","","115,975","?Other links"
"22:12, 9 December 2006","Clemente","","115,821","Not notable in this context because report seems to cover the 1960s and the US Government covers something more current 2004). That is different, is it not."
"21:54, 9 December 2006","CommonsDelinker","","115,981","Undid revision xxxxxxxxx by 200.119.211.x talk)"
"21:54, 9 December 2006","119.211.x","","116,016","?Origin"
"20:05, 9 December 2006","Edemir","minor","115,981","?Paraiso as a cult - More cleanup, more typos, fixed refs, etc."
"19:49, 9 December 2006","Edemir","minor","115,886","?Texts and Lectures - More vandalism cleanup, and moved a period"
"19:47, 9 December 2006","Edemir","minor","115,900","?Origin - Trimming out more vandalism"
"19:45, 9 December 2006","Edemir","","115,927","Intro is too big and has Angel.net refs again. Trimmed, wikilinked, and removed last paragraph super-redundant with rest of article)."
"19:26, 9 December 2006","Edemir","minor","117,105","Undid revision xxxxxxxxx by Generosa talk) - Removing vandalism"
"18:28, 9 December 2006","194.165.160.x","","117,265",""
"18:22, 9 December 2006","58.169.178.x","","117,227","?Angel and Body Almas"
"18:21, 9 December 2006","194.165.160.x","","117,459","more balanced pov; some incorrect references"
"15:39, 9 December 2006","61.9.148.x","","119,289",""
"15:28, 9 December 2006","Graciana","minor","119,258","?Criticism of Paraiso Ethics"
"13:31, 9 December 2006","Rio","minor","119,260","?Texts and Lectures"
"13:23, 9 December 2006","203.59.241.x","","119,248","?Origin"
"13:18, 9 December 2006","203.59.241.x","","119,247","?Origin"
"09:36, 9 December 2006","Generosa","","119,221","?Activities"
"09:25, 9 December 2006","Generosa","","119,061","?Beliefs"
"07:49, 9 December 2006","RASECZENITRAM","minor","118,829","Reverted 1 edit by 97.82.210.x identified as vandalism to last revision by Gertrudis. using TW"
"07:48, 9 December 2006","97.82.210.x","","118,876","?Influences"
"03:17, 9 December 2006","Gertrudis","","118,829","article likely no longer protected"
"03:16, 9 December 2006","Gertrudis","minor","118,852","Reverted edits by 144.132.141.x talk) to last version by 83.221.150.x"
"03:15, 9 December 2006","144.132.141.x","","112,349","?Paraiso as a commercial venture"
"01:25, 9 December 2006","83.221.150.x","","118,852",""
"21:15, 8 December 2006","SilviaBot","minor","118,838","BOT - Reverted edits by 86.41.68.x {possible vandalism} to revision #xxxxxxxxx by \"Airunp\"."
"21:15, 8 December 2006","86.41.68.x","","111,425","?Origin"
"20:31, 8 December 2006","Airunp","minor","118,838","Reverted edits by 76.25.91.x talk) to last version by Honoria"
"20:31, 8 December 2006","76.25.91.x","","116,909","?Influences"
"17:44, 8 December 2006","Honoria","minor","118,838","Reverted edits by 206.171.211.x talk) to last version by Abejundio"
"17:44, 8 December 2006","206.171.211.x","","118,839","?Angel and Body Almas"
"05:08, 8 December 2006","Abejundio","","118,838","?Paraiso as a cult"
"04:57, 8 December 2006","Abejundio","","116,966","?Paraiso as a cult"
"22:02, 7 December 2006","DailosTamanca","","116,608","Undid revision xxxxxxxxx by Metamario talk); revert weasel words, hasn't this gone to court?"
"21:59, 7 December 2006","Criston","","116,617","?Controversy and criticism - banned in Mexico"
"20:04, 7 December 2006","Metamario","minor","116,143","NPOV"
"00:49, 3 December 2006","Sara","minor","116,134","Reverted 1 edit by Aibdescalzo identified as vandalism to last revision by Conrado. using TW"
"00:46, 3 December 2006","Aibdescalzo","","116,279",""
"22:03, 1 December 2006","Conrado","","116,134","?Controversy and criticism"
"05:06, 28 November 2006","Agustin","","116,130","Added a number of cite templates needs many more), replaced \"Program for Prisoners\" dead link with other copy, expanded contents to level 3."
"03:27, 28 November 2006","Fernandez017","minor","115,249","?Influences - tense agreement verb is outside quotation)"
"02:15, 28 November 2006","Franpollo","minor","115,248","Removed blatant vandalism from lead Pablo6213: \"Paraiso is a lie......\""
"01:57, 28 November 2006","Rosalind","","115,450",""
"21:46, 26 November 2006","Rita","minor","115,248","?Paraiso as a cult - Typo - removing extra period."
"07:11, 22 November 2006","Graciela","","115,250","?Critical links"
"06:21, 22 November 2006","Graciela","","115,259","?Critical links"
"22:42, 21 November 2006","Amado","","115,165","?Paraiso Justice - This whole section is false, there is no such info in Paraiso Ethics Book, I did look! I was going to edit but this Justice is of too little importance to be here."
"15:18, 21 November 2006","Sancia","minor","116,209","?Other links - just capitalized DF for \"The Doctrina Fe\""
"09:31, 20 November 2006","Amado","","116,209","?Paraiso Ethics - moved a sentence around"
"09:23, 20 November 2006","Amado","minor","116,208","?The Cielo - wikilink"
"03:31, 20 November 2006","Agustin","minor","116,204","Undid revision xxxxxxxxx by Policia talk) rv vandalism"
"03:13, 20 November 2006","Policia","","116,176","?Definition"
"19:31, 19 November 2006","Amadeo","","116,204","?Scientific criticism of Paraiso's beliefs"
"03:09, 19 November 2006","Sara","","116,216","?Beliefs - removed another twin-sentence. +sp."
"00:04, 19 November 2006","DailosTamanca","","116,431","?Membership - removed confusing and irrelevant statistic"
"23:44, 18 November 2006","Eunispero","","116,454","?Membership - Paraiso members in USA ref added"
"22:29, 18 November 2006","Sara","","116,235","?Paraiso Ethics - deleted one sentence wich was already mentioned above and rewrote another onestats)"
"22:20, 18 November 2006","Sara","","116,371","?Beliefs - didn't delete anything but removed redundant section headers"
"21:58, 18 November 2006","Sara","","116,474","?Beliefs - NPOV and deleted sentence wich was mentioned twice"
"19:12, 18 November 2006","Amado","","116,812","Restored Paraiso Paraiso basic concepts while maintaining \"well sourced materials\" know you don't have an excuse to undue me"
"16:04, 18 November 2006","Sara","","110,584","rv. to my version but removed Attack. Amado flooded the article with dissemination marterial and deleted import info instead of writing a concise summary of the entire topic"
"13:09, 18 November 2006","Amado","","115,778","?Paraiso Ethics - The states of existance"
"12:25, 18 November 2006","Amado","","114,772","?Ethics in Paraiso"
"12:16, 18 November 2006","Amado","","114,353","?Ethics in Paraiso"
"12:08, 18 November 2006","Amado","","114,285","?Criticisms of Paraiso Ethics"
"12:07, 18 November 2006","Amado","","114,284","?Paraiso Justice"
"11:58, 18 November 2006","Amado","","114,196","Deleted false statement. A person can only be declared afther it has been proven in a Justicia Juicio that he commited a high crime. Intro to C. Ethics 1998 is no longer used refer to 2006 edition only"
"11:44, 18 November 2006","Amado","","114,482","?Morals"
"11:38, 18 November 2006","Amado","","114,411","?Ethics in Paraiso - Created subsection for Criticisms of Paraiso Ethics"
"11:08, 18 November 2006","Amado","","114,368","?The Cielo"
"11:03, 18 November 2006","Amado","","113,996","?Right and Wrong"
"09:21, 18 November 2006","Amado","","113,855","morals"
"09:01, 18 November 2006","Amado","","113,061","Survive and Right and Wrong"
"08:37, 18 November 2006","Amado","","112,284","New: Right and wrong"
"04:14, 18 November 2006","Adriano","minor","110,943","sp."
"03:06, 18 November 2006","Sara","minor","110,941","?Paraiso Justice - spelling, wording"
"02:50, 18 November 2006","Sara","minor","110,951","spelling"
"02:36, 18 November 2006","Sara","","110,945","?Beliefs - lack of ethic"
"00:35, 18 November 2006","Sara","","108,231","?Organizations - purpise is what ?"
"00:24, 18 November 2006","Sara","","108,224","?Beliefs - cleanup"
"23:06, 16 November 2006","BakBOT","","108,334","Reverting possible vandalism by Special:Contributions/Molotover to version by Clodoveo. If this is a mistake, report it. Thanks, BakBOT. 74757) Bot)"
"23:06, 16 November 2006","Molotover","","50","?Replaced page with 'WARNING, YOU'VE BEEN BRAINWASHED, LEAVE THIS PAGE!'"
"21:20, 15 November 2006","Clodoveo","minor","108,334","?Auditing - Added word \"A\" to the image caption"
"21:15, 15 November 2006","Clodoveo","minor","108,332","?The upper secret levels of Paraiso - Added comma"
"16:02, 15 November 2006","Laudano","minor","108,331","?Beliefs"
"15:59, 15 November 2006","Laudano","minor","108,326","?Beliefs"
"21:24, 13 November 2006","Adriano","","108,341","replace citation tertiary news agency summation of US State 2006 Report replaced with webcite to the actual report)"
"21:08, 13 November 2006","Adriano","","106,441","remove italicization from final 's' not part of publication's title), truncate webcite title"
"21:02, 13 November 2006","Adriano","","106,502","change one Mexico citation into webcite formate and populate fields"
"20:46, 13 November 2006","Edemir","minor","105,477","Minor language - Good job on that pernicious sentence, Amado"
"20:29, 13 November 2006","Adriano","","105,486","italicize publication title and minor language change"
"20:19, 13 November 2006","Amado","","105,481",""
"05:18, 13 November 2006","Edemir","","105,418","That darn sentence... I'm not even sure the intro should be this long."
"00:23, 13 November 2006","Edemir","","105,402","Restored language that actually does reflect the contents of the refs, and removed a ref that didn't apply."
"22:41, 12 November 2006","RyogaNica","minor","105,523","quote style"
"19:28, 12 November 2006","VictoriaV","","105,526","?Paraiso as a state-recognized religion"
"19:16, 12 November 2006","RyogaNica","","105,463","?Influences - right he was"
"19:04, 12 November 2006","VictoriaV","minor","105,439","Reverted 1 edit by Edemir; See, GoodD, you actually should read the refs. makes more sense then. . using TW"
"18:11, 12 November 2006","Edemir","","105,433","How about this, then? Neutral, factually accurate. Says nothing more or less than that the State Department has such reports, and that Paraisos report descrimination."
"18:01, 12 November 2006","VictoriaV","minor","105,439","Reverted 1 edit by Edemir; \"listed\" is factually wrong. each country gets its own report.. using TW"
"17:39, 12 November 2006","Edemir","","105,429","Previous phrasing is more neutral, but the ref is fine."
"17:24, 12 November 2006","VictoriaV","","105,439","added ref and adjusted text"
"17:13, 12 November 2006","Edemir","minor","105,271","Introduction - Minor language"
"11:40, 12 November 2006","Danielrengelm","","105,333","at least since Catalano is dead, but even b4 that others contributed as well, even if the I.C. might belittle their impact"
"08:54, 12 November 2006","Adriano","","105,323","?Paraiso as a state-recognized religion - draw distinction between approval and toleration"
"08:38, 12 November 2006","Adriano","","105,319","revert to last good version - no offence meant towards last good faith vandalism removal attempt!"
"08:06, 12 November 2006","Gmarval","minor","105,313","Fixed my removal of vandalsim."
"08:04, 12 November 2006","Gmarval","","105,296","Removed Vandalism"
"07:54, 12 November 2006","Latinguides","","105,467",""
"23:51, 11 November 2006","Adriano","","105,319","?The Mente - per WP:MOSQUOTE call-out type of quotation template is not to be used like this, correct typo"
"23:48, 11 November 2006","Adriano","","105,275","?The Alma - per WP:MOSQUOTE call-out type of quotation template is not to be used liker this, correct typo"
"16:45, 11 November 2006","Cristiano","","105,233","rv to last edit by WarlordGuadalupe"
"15:41, 11 November 2006","Ciceron","","105,316","?Beliefs"
"15:32, 11 November 2006","Ciceron","","105,319","?Origin"
"15:31, 11 November 2006","Ciceron","","105,299","?Origin"
"19:48, 10 November 2006","Guadalupe","","105,233","?Paraiso Missions - changed \"small\" to \"smaller\" as per talk page"
"17:24, 10 November 2006","Guadalupe","","105,231","changed word to \"developed\", \"instigated\" sounds like a word used in court"
"17:12, 10 November 2006","Danielrengelm","","105,232","since Catalano had a number of pastimes b4 Paraiso, it is manipulative to select one of them as defining characteristic. His authorship of governance can be discussed in F. Catalano"
"16:15, 10 November 2006","Gloria","","105,296","?The Alma - No comma between subject and verb, redundant the removed"
"06:53, 10 November 2006","Amado","","105,301","Removed pov pushing from first sentence, the controversy is already covered in the intro there is no need to push it in the 1st sentence"
"06:48, 10 November 2006","Amado","","105,350","Undid revision xxxxxxxxx by Amado Sorry I reverted the robot by mistake my bad."
"06:46, 10 November 2006","Amado","","105,327","Undid revision xxxxxxxxx by CristovalSorry, That is POV pushing by putting that in the 1st sentence."
"04:26, 10 November 2006","Cristoval","minor","105,350","robot Adding: simple:Paraiso"
"21:07, 9 November 2006","MichaelScott","minor","105,327",""
"20:59, 9 November 2006","MichaelScott","minor","105,329","The fact that it is controversial belongs in the first line of this article."
"18:02, 8 November 2006","Edemir","minor","105,278","Reverted 2 edits by Alverio identified as vandalism to last revision by Rufina. using TW"
"17:44, 8 November 2006","Alverio","","105,316",""
"17:43, 8 November 2006","Alverio","","105,282",""
"03:35, 8 November 2006","Rufina","minor","105,278","?Paraiso as a state-recognized religion - legal much better description"
"03:33, 8 November 2006","Adriano","","105,287","better ToC positioning"
"02:03, 8 November 2006","Adriano","","105,275","moved ToC bqack to default position for better aesthetics"
"02:01, 8 November 2006","Adriano","","105,276","reduced default display level of ToC"
"23:32, 7 November 2006","Adriano","","105,255","more appropriate image position WP:IMAGES"
"22:57, 7 November 2006","Gloria","","105,262","?Beliefs - consistent image width"
"22:51, 7 November 2006","Gloria","minor","105,250","?Influences - Spelling, grammar"
"21:33, 7 November 2006","Sara","minor","105,258","?Membership - refs back to old position ):"
"21:27, 7 November 2006","Sara","","105,093","?Membership - pretty is no argument and since nobody agrees on usefulness or notability ))):"
"19:43, 7 November 2006","Sara","","105,647","?Membership - internal link to \"org\" and \"mission\""
"19:11, 7 November 2006","Edemir","minor","105,566","Reverted 1 edit by Alberto identified as vandalism to last revision by Sara. using TW"
"19:08, 7 November 2006","Alberto","","105,537",""
"13:05, 7 November 2006","Sara","minor","105,566","Reverted to revision xxxxxxxxx by Amado; vandalism. using TW"
"12:58, 7 November 2006","Cobalttempest","","105,584",""
"12:57, 7 November 2006","Cobalttempest","","105,584",""
"12:39, 7 November 2006","Amado","","105,566","?Paraiso as a state-recognized religion"
"12:22, 7 November 2006","Sara","","105,447","?Membership - cleaning up my own reference mess"
"04:37, 7 November 2006","Roderiga","minor","105,711","Remove template per TfD using AWB"
"04:01, 7 November 2006","Sara","minor","105,732","Undid revision xxxxxxxxx by Cavaliz talk)"
"03:40, 7 November 2006","Cavaliz","","106,251",""
"20:19, 6 November 2006","Edemir","minor","105,732","Reverted good faith edits by Callas; That more properly belongs in the Angel article, where it is already.. using TW"
"20:06, 6 November 2006","Callas","","105,861","?Angel and Body Almas"
"19:59, 6 November 2006","Edemir","minor","105,732","Actually, that's not a typo, it's really spelled that way: Deseret"
"19:48, 6 November 2006","VictoriaV","","105,731","?Membership - refs added, see talk page and a typo removed)"
"12:45, 6 November 2006","Sara","","105,493","?Membership - refs for the membership map"
"07:24, 6 November 2006","VictoriaV","","105,385","non-RS"
"07:08, 6 November 2006","Agustin","","105,534","?Origin - No sources to justify that word."
"03:07, 6 November 2006","Cuarto","","105,543","Undid revision xxxxxxxxx by VictoriaV reverted link butchered by VictoriaV"
"01:08, 6 November 2006","Saturnina","","105,394","?Controversy and criticism - Spain removed"
"22:26, 5 November 2006","Adriano","","105,404","polishing"
"22:15, 5 November 2006","VictoriaV","","105,398","middle thing"
"21:59, 5 November 2006","Sara","","105,396","I am bold too and insert an alternative map wich only shows dissemination of I.C."
"21:32, 5 November 2006","Edemir","","105,139","?Membership - Being bold, removing inaccurate image map per talk page."
"21:20, 5 November 2006","Adriano","","105,456","better grammar?"
